'Borough','Zone','trips','avg_duration_min'
'Brooklyn','Brighton Beach',77781,16.516861444311594198
'Bronx','Crotona Park East',103745,16.575169887705431648
'Brooklyn','Flatlands',195876,17.492505462639627467
'Brooklyn','East Flatbush/Remsen Village',225610,18.423141704711671451
'Queens','Howard Beach',46025,18.372123845736012981
'Brooklyn','Bedford',349137,18.144098162039544064
'Brooklyn','Midwood',113982,17.487296239757153415
'Queens','Richmond Hill',158018,16.089749269070612314
'Manhattan','Lenox Hill East',348827,17.429505170184647511
'Manhattan','World Trade Center',120539,20.17759397373464214
'Manhattan','Upper East Side North',495998,14.890523752111903377
'Bronx','West Concourse',212559,15.090059701071232289
'Manhattan','Midtown North',319775,16.676678914862012703
'Manhattan','Penn Station/Madison Sq West',381112,16.689175360523940128
'Queens','Saint Albans',132560,16.340449607724803371
'Queens','Kew Gardens',75748,17.127963774621111525
'Manhattan','Governor''s Island/Ellis Island/Liberty Island',32,22.281249999999999111
'Bronx','Riverdale/North Riverdale/Fieldston',57994,18.106648963685898934
'Manhattan','Central Park',140253,15.862876373410907504
'Queens','Hillcrest/Pomonok',74713,17.784843333824098543
'Manhattan','Yorkville East',200136,16.457633809009872827
'Queens','Springfield Gardens South',56991,17.687792809390955994
'Manhattan','Seaport',75159,19.123484878723772339
'Manhattan','Garment District',224674,18.25177368097777375
'Manhattan','Hudson Sq',106110,17.645547073791347791
'Manhattan','Upper West Side South',344139,15.515190083076896954
'Manhattan','Midtown South',343451,16.744397308495244658
'Queens','Rockaway Park',22069,22.636367755675381729
'Staten Island','Arden Heights',8390,17.638617401668654771
'Queens','Middle Village',74856,16.176792775462221385
'Manhattan','Washington Heights South',354692,18.741181081050601875
'Bronx','Fordham South',97563,16.14073982964853382
'Manhattan','Kips Bay',288826,15.879837687742792695
'Unknown','NA',1168723,34.9426117223670607
'Queens','Jackson Heights',268667,16.203757811714871728
'Brooklyn','Boerum Hill',173001,20.444725753030330572
'Manhattan','Murray Hill',449213,15.250927733614121351
'Manhattan','East Chelsea',392403,16.925293639447200888
'Brooklyn','Bushwick South',422920,18.816397900312114899
'Manhattan','West Village',339003,15.436615605171635223
'Bronx','Claremont/Bathgate',152994,16.191210112814882648
'Brooklyn','Gowanus',63506,19.497559285736780765
'Brooklyn','Brooklyn Heights',161710,20.758685300847194987
'Manhattan','Financial District North',210160,19.194090216977542695
'Bronx','East Tremont',187516,16.023933957635616565
'Bronx','Spuyten Duyvil/Kingsbridge',123756,16.039893015288146926
'Staten Island','Grymes Hill/Clifton',30900,23.201682847896440975
'Brooklyn','South Williamsburg',88770,13.683158724794410865
'Brooklyn','Clinton Hill',209918,18.590330510008669762
'Queens','Saint Michaels Cemetery/Woodside',12630,13.399445764053841134
'Manhattan','Battery Park City',170506,19.159402015178351064
'Brooklyn','Madison',80837,16.328129445674630204
'Manhattan','Upper West Side North',310906,15.800007076093738334
'Manhattan','Stuy Town/Peter Cooper Village',77385,15.726484460812817367
'Brooklyn','Cobble Hill',44287,19.768035766703548006
'Staten Island','Westerleigh',23531,16.225787259359993441
